,pred1
832,0.24664785
833,0.24664785
834,0.25126696
835,0.24083753
836,0.24083753
837,0.25776947
838,0.25126696
839,0.25126696
840,0.24664785
841,0.24664785
842,0.25684276
843,0.22576205
844,0.25126696
845,0.25467125
846,0.25467125
847,0.24664785
848,0.24083753
849,0.24664785
850,0.24664785
851,0.25684276
852,0.25126696
853,0.22576205
854,0.25126696
855,0.24664785
856,0.24664785
857,0.25467125
858,0.24083753
859,0.25126696
860,0.22576205
861,0.24664785
862,0.25467125
863,0.24664783
864,0.24664785
865,0.25684276
866,0.25744587
867,0.2165664
868,0.24083753
869,0.24664785
870,0.25126696
871,0.22576205
872,0.25467125
873,0.24083753
874,0.22576205
875,0.24664785
876,0.25126696
877,0.24083753
878,0.24664785
879,0.22576205
880,0.24664785
881,0.24083753
882,0.25126696
883,0.24083753
884,0.25684276
885,0.24083753
886,0.23386462
887,0.24083753
888,0.24083753
889,0.23386462
890,0.23386462
891,0.23386462
892,0.23386462
893,0.24664785
894,0.24664783
895,0.24083753
896,0.24664785
897,0.25467125
898,0.23386462
899,0.25126696
900,0.24083753
901,0.24664785
902,0.23386462
903,0.24664785
904,0.25126696
905,0.25467125
906,0.25776947
907,0.24664785
908,0.24664785
909,0.24083753
910,0.24664785
911,0.24083753
912,0.24083753
913,0.24083753
914,0.24083753
915,0.24664785
916,0.24083753
917,0.25467125
918,0.22576205
919,0.23386462
920,0.25126696
921,0.24083753
922,0.24083753
923,0.25126696
924,0.22576205
925,0.22576205
926,0.24083753
927,0.23386462
928,0.24083753
929,0.25126696
930,0.24083753
931,0.24664785
932,0.23386462
933,0.24664785
934,0.24083753
935,0.24083753
936,0.23386462
937,0.25684276
938,0.25126696
939,0.25684276
940,0.22576205
941,0.24083753
942,0.25776947
943,0.25126696
944,0.24083753
945,0.25126696
946,0.24083753
947,0.25126696
948,0.25126696
949,0.25126696
950,0.24083753
951,0.24664785
952,0.24664785
953,0.25684276
954,0.25587302
955,0.22576205
956,0.23386462
957,0.25684276
958,0.24664783
959,0.25467125
960,0.24664785
961,0.25126696
962,0.25126696
963,0.24664785
964,0.24083753
965,0.22576205
966,0.2210966
967,0.22576205
968,0.24083753
969,0.22576205
